Venue Category,Broad Category
Motorcycle Shop,Automobile
Gas Station,Automobile
Automotive Shop,Automobile
Convenience Store,Automobile
Auto Garage,Automobile
Bank,Banks and Professional Services
Check Cashing Service,Banks and Professional Services
Lawyer,Banks and Professional Services
Financial or Legal Service,Banks and Professional Services
Insurance Office,Banks and Professional Services
Professional & Other Places,Banks and Professional Services
IT Services,Banks and Professional Services
Bowling Alley,Bars and Adult Entertainment
Pub,Bars and Adult Entertainment
Beer Bar,Bars and Adult Entertainment
Bar,Bars and Adult Entertainment
Liquor Store,Bars and Adult Entertainment
Nightclub,Bars and Adult Entertainment
Smoke Shop,Bars and Adult Entertainment
Sports Bar,Bars and Adult Entertainment
Lounge,Bars and Adult Entertainment
Brewery,Bars and Adult Entertainment
Distillery,Bars and Adult Entertainment
Tattoo Parlor,Bars and Adult Entertainment
Art Gallery,Bars and Adult Entertainment
Hookah Bar,Bars and Adult Entertainment
Indie Theater,Bars and Adult Entertainment
Piano Bar,Bars and Adult Entertainment
Dive Bar,Bars and Adult Entertainment
Tea Room,Bars and Adult Entertainment
Lingerie Store,Bars and Adult Entertainment
Pool Hall,Bars and Adult Entertainment
Cocktail Bar,Bars and Adult Entertainment
Beer Store,Bars and Adult Entertainment
Gastropub,Bars and Adult Entertainment
Jazz Club,Bars and Adult Entertainment
Vape Store,Bars and Adult Entertainment
Whisky Bar,Bars and Adult Entertainment
Wine Bar,Bars and Adult Entertainment
Nail Salon,Bars and Adult Entertainment
Karaoke Bar,Bars and Adult Entertainment
Indie Movie Theater,Bars and Adult Entertainment
Speakeasy,Bars and Adult Entertainment
Gaming Cafe,Bars and Adult Entertainment
Beer Garden,Bars and Adult Entertainment
Rock Club,Bars and Adult Entertainment
General Entertainment,Bars and Adult Entertainment
Opera House,Bars and Adult Entertainment
Theater,Bars and Adult Entertainment
Comedy Club,Bars and Adult Entertainment
Hotel Bar,Bars and Adult Entertainment
Perfume Shop,Bars and Adult Entertainment
Irish Pub,Bars and Adult Entertainment
Piercing Parlor,Bars and Adult Entertainment
Adult Boutique,Bars and Adult Entertainment
Beach Bar,Bars and Adult Entertainment
Other Nightlife,Bars and Adult Entertainment
Strip Club,Bars and Adult Entertainment
Bookstore,Books
Used Bookstore,Books
Comic Shop,Books
Newsstand,Books
Kids Store,Children
Toy / Game Store,Children
Daycare,Children
Theme Park,Children
Child Care Service,Children
Baby Store,Children
Roller Rink,Children
Movie Theater,Children
Men's Store,Clothing and Jewelry
Jewelry Store,Clothing and Jewelry
Clothing Store,Clothing and Jewelry
Women's Store,Clothing and Jewelry
Cosmetics Shop,Clothing and Jewelry
Tailor Shop,Clothing and Jewelry
Video Game Store,Electronics
Mobile Phone Shop,Electronics
Arcade,Electronics
Electronics Store,Electronics
Video Store,Electronics
Record Shop,Electronics
Music Store,Electronics
Photography Studio,Electronics
Recording Studio,Electronics
Camera Store,Electronics
Gym,Sports and Fitness
Yoga Studio,Sports and Fitness
Gym / Fitness Center,Sports and Fitness
Spa,Sports and Fitness
Juice Bar,Sports and Fitness
Sporting Goods Shop,Sports and Fitness
Martial Arts Dojo,Sports and Fitness
Athletics & Sports,Sports and Fitness
Dance Studio,Sports and Fitness
Gymnastics Gym,Sports and Fitness
Fishing Store,Sports and Fitness
Cycle Studio,Sports and Fitness
Pilates Studio,Sports and Fitness
Massage Studio,Sports and Fitness
Golf Course,Sports and Fitness
Boxing Gym,Sports and Fitness
Sports Club,Sports and Fitness
Health Food Store,Sports and Fitness
Mini Golf,Sports and Fitness
Skate Park,Sports and Fitness
Climbing Gym,Sports and Fitness
Bath House,Sports and Fitness
Bike Shop,Sports and Fitness
Go Kart Track,Sports and Fitness
Tanning Salon,Sports and Fitness
Weight Loss Center,Sports and Fitness
Board Shop,Sports and Fitness
Discount Store,Grocery and Shopping
Grocery Store,Grocery and Shopping
Warehouse Store,Grocery and Shopping
Thrift / Vintage Store,Grocery and Shopping
Supermarket,Grocery and Shopping
Department Store,Grocery and Shopping
Miscellaneous Shop,Grocery and Shopping
Gift Shop,Grocery and Shopping
Music Venue,Grocery and Shopping
Arts & Crafts Store,Grocery and Shopping
Wine Shop,Grocery and Shopping
Shoe Store,Grocery and Shopping
Health & Beauty Service,Grocery and Shopping
Accessories Store,Grocery and Shopping
Outlet Store,Grocery and Shopping
Boutique,Grocery and Shopping
Fruit & Vegetable Store,Grocery and Shopping
Organic Grocery,Grocery and Shopping
Antique Shop,Grocery and Shopping
Herbs & Spices Store,Grocery and Shopping
Pie Shop,Grocery and Shopping
Shopping Mall,Grocery and Shopping
Hobby Shop,Grocery and Shopping
Outlet Mall,Grocery and Shopping
Bridal Shop,Grocery and Shopping
Big Box Store,Grocery and Shopping
Pharmacy,Medical
Optical Shop,Medical
Doctor's Office,Medical
Drugstore,Medical
Eye Doctor,Medical
Pet Store,Pets
Pet Café,Pets
Veterinarian,Pets
Pet Service,Pets
Dessert Shop,Dining
Ice Cream Shop,Dining
Donut Shop,Dining
Sandwich Place,Dining
Food,Dining
Pizza Place,Dining
Bagel Shop,Dining
Fast Food Restaurant,Dining
Restaurant,Dining
Deli / Bodega,Dining
Caribbean Restaurant,Dining
Diner,Dining
Seafood Restaurant,Dining
Food & Drink Shop,Dining
Food Truck,Dining
Gourmet Shop,Dining
Latin American Restaurant,Dining
Burger Joint,Dining
Coffee Shop,Dining
Spanish Restaurant,Dining
Mexican Restaurant,Dining
Wings Joint,Dining
Bakery,Dining
Candy Store,Dining
Café,Dining
Fried Chicken Joint,Dining
Breakfast Spot,Dining
Chinese Restaurant,Dining
American Restaurant,Dining
